feature_index,mean_abs_shap
10,0.032146065496425964
24,0.024848024514522574
90,0.021863260270615123
5,0.021729175536829425
72,0.020220579278504732
17,0.019733744302810143
91,0.019521196990882166
52,0.015429059968498318
16,0.01470905226588563
87,0.011818088974970874
48,0.011466801289277373
1,0.011270237392468263
74,0.011133503592453005
28,0.010546629832781304
32,0.010489736617329645
29,0.010131712934630097
47,0.009869166735870962
35,0.009704275342978406
27,0.00947692860800047
89,0.009111686760224589
